Time,kw,PRE,PRC,TEAT,TCAT,TEITEO,TCOTCI,kW_ton,COP,Q_c,Q_e,Condenser.inlet_fl1.m_flow
0,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
600,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
1200,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
1800,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
2400,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
3000,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
3600,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
4200,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
4800,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
5400,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
6000,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
6600,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
7200,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
7800,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
8400,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
9000,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
9600,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
10200,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
10800,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
11400,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
12000,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
12600,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
13200,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
13800,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
14400,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
15000,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
15600,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
16200,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
16800,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
17400,185091,355692,914798,278.643,320.972,4.99085,4.73994,0.185246,5.39822,1184250,999161,6.59088
